snooze_count,historical_success_rate,avg_time_taken_ms,last_failed_type,target_challenge_type,target_difficulty,target_multi_step
2,0.74,8329,math,riddle,3,2
4,0.49,15329,logic,quiz,1,2
5,0.55,19524,logic,memory,2,2
3,0.44,21648,pattern,memory,1,2
6,0.92,2411,none,riddle,5,3
6,0.93,3676,riddle,pattern,5,3
0,0.6,3119,math,memory,2,1
6,0.96,3951,logic,logic,4,3
5,0.93,3964,logic,riddle,4,3
6,0.94,3917,none,logic,4,3
5,0.38,16792,logic,memory,1,2
4,0.88,2879,none,pattern,5,3
3,0.97,1777,none,logic,4,3
0,0.83,6685,none,riddle,1,1
0,0.67,5266,math,memory,3,1
5,0.94,1931,none,riddle,4,3
4,0.6,14304,logic,quiz,2,2
0,0.84,10356,logic,math,1,1
2,0.76,10515,word_scramble,quiz,3,2
0,0.59,3757,math,memory,2,1
3,0.93,1739,logic,riddle,5,3
4,0.56,23174,pattern,word_scramble,1,2
1,0.53,5776,word_scramble,memory,3,1
1,0.65,4014,math,memory,3,1
5,0.88,2177,none,logic,5,3
3,0.58,17482,math,quiz,1,2
4,0.32,20404,logic,word_scramble,1,2
5,0.43,22840,pattern,memory,1,2
3,0.62,11091,riddle,quiz,4,3
0,0.41,2667,word_scramble,memory,3,1
5,0.31,15146,math,quiz,2,2
0,0.77,6045,math,logic,1,1
5,1.0,3925,none,pattern,5,3
3,0.95,3599,riddle,riddle,5,3
4,0.99,1838,none,pattern,5,3
3,0.94,2125,none,riddle,5,3
2,0.63,6473,math,math,3,2
3,0.64,5776,quiz,pattern,4,3
6,0.93,2211,none,logic,5,3
0,0.8,11595,logic,quiz,1,1
3,0.98,3506,none,pattern,5,3
0,0.63,5060,math,memory,3,1
1,0.46,3698,word_scramble,memory,3,1
1,0.63,2575,word_scramble,memory,2,1
0,0.5,5299,word_scramble,memory,3,1
3,0.71,5598,pattern,word_scramble,4,3
1,0.61,7767,none,word_scramble,2,1
1,0.5,4580,math,memory,3,1
1,0.78,7724,logic,pattern,2,1
0,0.53,4867,math,memory,3,1
3,0.93,3964,logic,logic,5,3
0,0.59,5642,word_scramble,memory,2,1
1,0.47,2256,math,memory,2,1
1,0.5,5325,math,memory,3,1
4,0.36,24203,pattern,word_scramble,2,2
4,1.0,1793,none,riddle,4,3
1,0.49,2017,math,memory,2,1
5,0.92,1982,logic,logic,5,3
0,0.41,4657,word_scramble,memory,3,1
0,0.68,9354,logic,quiz,1,1
1,0.47,5023,math,memory,2,1
0,0.5,4246,math,memory,3,1
3,0.5,20779,logic,memory,1,2
4,0.31,15124,logic,word_scramble,1,2
3,0.35,19256,pattern,quiz,1,2
4,0.55,19775,logic,word_scramble,2,2
0,0.66,4315,word_scramble,memory,3,1
1,0.52,5314,word_scramble,memory,3,1
0,0.49,3816,math,memory,2,1
4,0.3,22446,pattern,quiz,1,2
2,0.71,10997,pattern,math,3,2
3,0.94,1677,riddle,pattern,4,3
5,0.37,17858,logic,quiz,2,2
3,0.51,14230,math,word_scramble,1,2
0,0.48,3623,math,memory,2,1
0,0.42,4403,word_scramble,memory,3,1
3,0.7,6684,logic,riddle,4,3
1,0.51,5889,word_scramble,memory,3,1
3,0.79,7221,math,quiz,4,3
6,0.94,2379,logic,riddle,4,3
4,0.95,2469,none,pattern,4,3
3,0.5,12370,logic,word_scramble,1,2
5,0.92,3979,logic,pattern,4,3
1,0.47,5287,math,memory,3,1
0,0.7,9624,quiz,math,1,1
3,0.79,10635,word_scramble,logic,4,3
6,0.97,2435,none,riddle,5,3
3,0.84,10335,pattern,memory,4,3
5,0.92,2702,logic,riddle,5,3
4,0.48,22850,logic,memory,1,2
1,0.53,3614,math,memory,3,1
4,0.39,19128,math,quiz,1,2
5,0.96,2563,logic,pattern,4,3
1,0.69,6719,none,quiz,2,1
2,0.72,8515,pattern,memory,3,2
0,0.43,3551,math,memory,2,1
0,0.6,5122,math,memory,2,1
3,0.87,2447,none,pattern,4,3
5,0.45,15013,math,word_scramble,2,2
6,0.97,3409,logic,logic,5,3
6,0.87,3487,none,pattern,5,3
3,0.95,3511,logic,riddle,4,3
3,0.73,9284,riddle,riddle,4,3
1,0.79,7978,none,riddle,2,1
1,0.42,2358,math,memory,2,1
3,0.52,23949,math,word_scramble,2,2
4,0.47,18815,math,memory,2,2
0,0.84,5579,pattern,riddle,1,1
4,0.36,18845,math,word_scramble,2,2
4,0.37,15988,logic,memory,2,2
6,0.92,1663,riddle,logic,5,3
1,0.77,11786,none,word_scramble,2,1
6,0.9,1543,none,riddle,4,3
0,0.7,4733,word_scramble,memory,3,1
1,0.58,4342,math,memory,2,1
4,0.41,22727,logic,memory,2,2
5,0.39,19848,pattern,memory,2,2
0,0.5,3959,math,memory,3,1
3,0.47,18861,logic,memory,2,2
1,0.68,2340,math,memory,2,1
3,0.32,13654,pattern,memory,2,2
4,0.86,1640,none,logic,4,3
4,0.95,2462,logic,riddle,4,3
1,0.62,5262,pattern,math,2,1
1,0.5,2657,word_scramble,memory,2,1
1,0.68,5162,math,memory,2,1
4,0.6,15680,pattern,memory,2,2
0,0.58,3326,math,memory,3,1
1,0.84,7661,pattern,word_scramble,2,1
5,0.4,12251,pattern,memory,1,2
0,0.61,5231,math,memory,3,1
0,0.49,5957,word_scramble,memory,2,1
2,0.81,8848,pattern,riddle,3,2
5,0.47,17361,math,memory,1,2
5,0.95,2739,logic,logic,4,3
4,0.54,19553,logic,quiz,2,2
4,0.94,3674,none,riddle,5,3
4,0.92,1644,none,logic,4,3
1,0.58,5019,math,memory,2,1
5,0.89,2655,logic,logic,4,3
1,0.64,5777,math,memory,3,1
1,0.57,2444,word_scramble,memory,2,1
0,0.69,4213,word_scramble,memory,2,1
3,0.53,17238,math,memory,1,2
5,0.53,20766,math,word_scramble,2,2
5,0.4,18597,math,memory,1,2
4,0.56,21067,pattern,quiz,1,2
5,0.9,2540,logic,riddle,5,3
4,1.0,1900,logic,pattern,4,3
6,0.97,2993,riddle,riddle,5,3
5,0.57,22618,logic,memory,2,2
0,0.7,5787,logic,quiz,1,1
3,0.73,8984,word_scramble,word_scramble,4,3
4,0.44,22540,math,word_scramble,1,2
6,0.94,2976,logic,logic,5,3
6,0.91,1831,riddle,logic,5,3
3,0.91,2069,riddle,logic,4,3
3,0.81,11093,pattern,word_scramble,4,3
4,0.6,24374,math,memory,2,2
1,0.4,4070,math,memory,3,1
1,0.61,2096,math,memory,2,1
3,0.42,18137,math,quiz,2,2
3,0.74,6877,quiz,quiz,4,3
4,0.92,2630,logic,pattern,4,3
5,0.56,18305,pattern,quiz,1,2
5,0.45,20241,math,word_scramble,2,2
6,0.94,2429,none,logic,4,3
1,0.61,5348,word_scramble,memory,2,1
4,0.56,22231,pattern,memory,1,2
0,0.55,2772,word_scramble,memory,2,1
3,0.96,2030,riddle,logic,4,3
2,0.61,7308,logic,pattern,3,2
1,0.63,6734,pattern,math,2,1
1,0.6,3082,math,memory,3,1
0,0.5,4937,math,memory,3,1
4,0.99,2452,logic,pattern,4,3
3,0.61,8075,logic,word_scramble,4,3
4,0.98,2531,none,pattern,4,3
0,0.52,3999,word_scramble,memory,3,1
0,0.57,3577,math,memory,3,1
2,0.78,8740,logic,memory,3,2
1,0.7,9146,logic,word_scramble,2,1
3,0.56,16072,math,word_scramble,2,2
0,0.53,4117,word_scramble,memory,2,1
5,0.91,2202,riddle,riddle,4,3
4,0.93,3184,riddle,riddle,4,3
2,0.85,9711,logic,memory,3,2
0,0.51,3574,math,memory,3,1
1,0.62,5036,pattern,memory,2,1
0,0.82,9911,pattern,word_scramble,1,1
5,0.33,23640,math,memory,2,2
0,0.42,4566,math,memory,3,1
3,0.34,16104,pattern,quiz,1,2
3,0.88,2974,none,riddle,5,3
5,0.39,12348,pattern,word_scramble,2,2
0,0.71,7532,memory,quiz,1,1
1,0.78,6714,word_scramble,riddle,2,1
5,0.51,17627,pattern,word_scramble,1,2
3,0.39,12951,math,quiz,1,2
2,0.82,8598,memory,word_scramble,3,2
5,0.93,2987,none,logic,4,3
4,0.95,3672,logic,logic,5,3
0,0.5,4231,math,memory,3,1
0,0.49,4356,math,memory,3,1
4,0.3,14357,logic,memory,2,2
5,0.86,1981,none,riddle,5,3
0,0.45,4283,word_scramble,memory,2,1
2,0.71,5838,word_scramble,logic,3,2
0,0.71,11435,quiz,riddle,1,1
3,0.93,1778,logic,pattern,4,3
6,0.94,3047,riddle,logic,5,3
6,0.89,2050,none,logic,5,3
1,0.68,9636,math,logic,2,1
3,0.77,8547,memory,riddle,4,3
1,0.69,5027,word_scramble,memory,2,1
4,0.32,24165,logic,word_scramble,2,2
3,0.94,2112,riddle,riddle,5,3
2,0.85,5809,riddle,logic,3,2
1,0.54,3713,math,memory,2,1
4,0.58,16938,logic,word_scramble,1,2
5,0.98,3982,none,logic,4,3
4,0.58,15701,math,memory,2,2
3,0.79,7306,logic,quiz,4,3
3,0.41,19403,math,memory,1,2
3,0.89,3521,logic,logic,4,3
1,0.65,10391,memory,riddle,2,1
6,0.98,2045,logic,logic,5,3
4,0.97,1724,logic,pattern,5,3
4,0.93,3498,logic,logic,5,3
1,0.69,5348,logic,pattern,2,1
3,0.89,1784,none,logic,4,3
1,0.62,7673,quiz,math,2,1
3,0.31,24597,logic,quiz,2,2
2,0.82,11395,word_scramble,memory,3,2
4,0.86,1668,riddle,riddle,4,3
4,0.49,19783,logic,memory,2,2
2,0.64,6453,riddle,pattern,3,2
6,0.96,3517,logic,riddle,5,3
1,0.8,8426,riddle,riddle,2,1
1,0.67,5627,math,memory,3,1
4,0.85,3463,riddle,pattern,4,3
1,0.59,3324,math,memory,2,1
1,0.8,9883,memory,pattern,2,1
2,0.6,6274,memory,math,3,2
3,0.97,2263,riddle,pattern,4,3
0,0.81,9986,math,quiz,1,1
1,0.61,2026,math,memory,2,1
1,0.41,3044,math,memory,3,1
0,0.49,3546,math,memory,2,1
6,0.96,2738,none,pattern,4,3
1,0.43,3589,math,memory,2,1
5,0.56,21778,math,memory,1,2
3,0.93,3844,riddle,logic,5,3
5,0.36,19159,math,memory,2,2
5,0.45,18779,logic,quiz,1,2
1,0.84,11602,math,math,2,1
1,0.83,8204,logic,quiz,2,1
0,0.43,5708,word_scramble,memory,3,1
3,0.71,6952,none,quiz,4,3
0,0.61,3028,math,memory,2,1
0,0.61,11186,logic,pattern,1,1
3,0.34,12723,math,quiz,2,2
1,0.6,5682,math,memory,3,1
5,0.96,3711,none,pattern,5,3
1,0.43,5982,math,memory,2,1
1,0.83,11566,none,math,2,1
3,0.4,23548,logic,memory,1,2
5,0.34,17162,logic,memory,1,2
5,0.49,16945,logic,quiz,1,2
3,0.99,3046,none,pattern,4,3
5,0.94,2179,logic,logic,5,3
0,0.75,6439,logic,word_scramble,1,1
4,0.85,3321,none,pattern,5,3
1,0.63,6427,math,math,2,1
1,0.56,4504,math,memory,2,1
1,0.46,4057,math,memory,2,1
1,0.57,3345,math,memory,2,1
3,0.36,19891,pattern,word_scramble,1,2
1,0.66,9206,memory,word_scramble,2,1
1,0.41,5988,word_scramble,memory,2,1
0,0.51,5198,word_scramble,memory,2,1
5,0.99,3297,none,pattern,5,3
3,0.9,3349,logic,pattern,4,3
5,0.44,23468,logic,quiz,1,2
1,0.55,2037,word_scramble,memory,3,1
1,0.6,5381,math,memory,2,1
3,0.65,10372,word_scramble,riddle,4,3
5,0.42,24264,logic,quiz,2,2
0,0.78,10198,math,word_scramble,1,1
5,0.57,21477,math,memory,2,2
4,0.59,24317,math,quiz,1,2
1,0.61,4636,math,memory,3,1
1,0.78,10483,logic,riddle,2,1
3,0.86,2251,riddle,riddle,5,3
3,0.65,7125,word_scramble,math,4,3
3,0.53,16638,logic,quiz,1,2
3,0.89,2770,riddle,riddle,4,3
3,0.64,10059,none,math,4,3
3,0.55,20185,logic,quiz,2,2
0,0.81,11964,logic,logic,1,1
5,0.89,3289,logic,riddle,5,3
1,0.6,2589,math,memory,2,1
5,0.89,2864,riddle,riddle,5,3
6,0.96,2728,logic,pattern,4,3
2,0.82,9928,word_scramble,word_scramble,3,2
4,0.47,13823,math,memory,1,2
6,0.88,2708,none,riddle,4,3
1,0.7,7035,none,quiz,2,1
0,0.65,2292,math,memory,2,1
4,0.92,1671,none,logic,5,3
1,0.63,11435,riddle,memory,2,1
0,0.74,5377,memory,math,1,1
6,0.9,2081,logic,logic,5,3
5,0.93,3162,none,riddle,5,3
5,0.56,14424,pattern,memory,1,2
4,0.59,23904,math,memory,2,2
5,0.42,12754,math,memory,2,2
2,0.72,6658,word_scramble,riddle,3,2
5,0.45,23407,math,quiz,1,2
0,0.52,4320,math,memory,3,1
3,0.33,23375,math,quiz,1,2
1,0.64,4296,math,memory,2,1
1,0.41,5824,word_scramble,memory,2,1
0,0.67,9845,riddle,memory,1,1
1,0.69,3819,math,memory,2,1
5,0.32,22372,logic,memory,2,2
0,0.77,8111,pattern,memory,1,1
4,0.98,3735,none,logic,5,3
4,0.37,19473,logic,word_scramble,1,2
3,0.86,3666,riddle,riddle,4,3
1,0.63,2067,math,memory,3,1
2,0.71,9072,math,logic,3,2
5,0.41,24238,logic,memory,2,2
5,0.46,14071,math,word_scramble,2,2
0,0.61,3999,math,memory,2,1
3,0.89,2673,logic,pattern,5,3
1,0.6,8694,pattern,math,2,1
4,1.0,2422,riddle,logic,4,3
5,0.93,2500,none,riddle,5,3
3,0.58,16955,pattern,memory,2,2
3,0.65,6984,math,word_scramble,4,3
1,0.58,2398,word_scramble,memory,2,1
3,0.75,7072,math,riddle,4,3
6,0.97,3574,none,riddle,5,3
2,0.63,11469,none,logic,3,2
4,0.92,3645,none,pattern,5,3
4,0.34,24138,logic,word_scramble,1,2
2,0.61,6806,pattern,math,3,2
5,0.51,24774,pattern,quiz,2,2
1,0.84,11839,math,logic,2,1
3,0.91,2444,riddle,riddle,5,3
6,0.93,2506,riddle,pattern,4,3
0,0.67,5627,word_scramble,memory,3,1
0,0.58,5684,word_scramble,memory,2,1
3,0.37,14769,math,word_scramble,2,2
4,0.4,21080,logic,word_scramble,2,2
5,0.33,18740,pattern,memory,2,2
4,0.37,24930,logic,quiz,2,2
5,0.41,14855,logic,word_scramble,1,2
3,0.42,15441,math,word_scramble,2,2
3,0.39,13109,logic,quiz,2,2
4,0.95,3286,none,riddle,4,3
3,0.7,5469,word_scramble,riddle,4,3
0,0.56,5851,math,memory,3,1
6,0.89,2884,riddle,logic,4,3
2,0.8,6016,memory,quiz,3,2
5,0.41,23021,math,word_scramble,2,2
3,0.59,19559,pattern,quiz,1,2
0,0.79,6431,riddle,logic,1,1
3,0.41,20763,math,memory,2,2
0,0.61,11905,quiz,riddle,1,1
2,0.7,5626,riddle,memory,3,2
4,0.31,22089,pattern,quiz,1,2
6,0.98,2983,none,logic,4,3
0,0.58,2700,word_scramble,memory,2,1
5,0.54,18108,logic,memory,2,2
3,0.35,17590,pattern,quiz,2,2
0,0.56,2711,word_scramble,memory,2,1
3,0.75,9657,memory,memory,4,3
1,0.73,5334,memory,logic,2,1
1,0.79,8534,riddle,word_scramble,2,1
1,0.63,10026,logic,word_scramble,2,1
1,0.66,2017,word_scramble,memory,3,1
3,0.87,2068,riddle,riddle,4,3
0,0.43,2760,word_scramble,memory,2,1
5,0.4,24421,math,quiz,2,2
5,0.87,1852,logic,pattern,4,3
0,0.67,3774,word_scramble,memory,3,1
3,0.76,6514,pattern,math,4,3
1,0.59,5552,math,memory,3,1
5,0.34,15872,math,memory,1,2
5,0.59,21669,pattern,memory,2,2
5,0.51,14677,pattern,quiz,2,2
1,0.51,5465,math,memory,2,1
4,0.91,2710,none,logic,4,3
3,0.44,12552,logic,memory,1,2
3,0.95,1771,none,riddle,5,3
0,0.46,3525,word_scramble,memory,2,1
0,0.63,4344,math,memory,2,1
5,0.86,1606,logic,pattern,5,3
3,0.6,14120,logic,word_scramble,1,2
2,0.8,11333,none,memory,3,2
1,0.54,3483,math,memory,2,1
5,0.45,13762,math,word_scramble,2,2
4,0.38,15399,logic,memory,1,2
0,0.72,6651,pattern,pattern,1,1
4,0.93,2465,none,riddle,5,3
5,0.47,15479,logic,word_scramble,1,2
3,0.47,21294,logic,memory,2,2
4,0.39,20503,pattern,word_scramble,1,2
1,0.66,2641,math,memory,2,1
4,0.91,3266,logic,pattern,4,3
2,0.67,11873,quiz,memory,3,2
1,0.63,4903,math,memory,3,1
3,0.49,21815,logic,word_scramble,1,2
5,0.36,19667,math,quiz,2,2
1,0.68,3188,word_scramble,memory,3,1
6,0.88,2113,none,pattern,4,3
6,0.89,3736,logic,riddle,5,3
6,0.9,2624,none,pattern,4,3
0,0.45,5714,word_scramble,memory,2,1
1,0.65,2877,word_scramble,memory,3,1
6,0.97,2279,riddle,pattern,4,3
1,0.76,11099,memory,riddle,2,1
0,0.54,3629,word_scramble,memory,2,1
1,0.46,5374,word_scramble,memory,3,1
5,0.86,3320,none,riddle,4,3
1,0.52,3263,word_scramble,memory,3,1
3,0.41,13774,math,word_scramble,2,2
0,0.41,5354,word_scramble,memory,2,1
3,0.69,7072,quiz,memory,4,3
3,0.58,22890,pattern,quiz,1,2
0,0.49,5655,word_scramble,memory,2,1
3,0.59,18067,pattern,word_scramble,1,2
5,0.92,2370,logic,pattern,5,3
4,0.87,3888,logic,riddle,4,3
1,0.69,11529,memory,math,2,1
4,0.48,24730,logic,word_scramble,1,2
6,0.94,2380,riddle,pattern,4,3
1,0.63,2587,math,memory,3,1
0,0.63,6499,riddle,riddle,1,1
5,0.47,20864,logic,memory,2,2
1,0.84,8450,logic,pattern,2,1
1,0.69,4038,math,memory,3,1
2,0.65,7600,quiz,pattern,3,2
1,0.43,4407,math,memory,3,1
4,0.32,20581,math,quiz,1,2
1,0.62,3245,math,memory,2,1
6,0.91,3148,none,pattern,5,3
3,0.79,5216,math,logic,4,3
5,0.98,3435,logic,logic,5,3
4,0.89,2834,logic,logic,5,3
6,0.85,2058,riddle,riddle,4,3
1,0.66,4460,math,memory,2,1
1,0.56,2121,math,memory,3,1
3,0.6,7563,riddle,memory,4,3
3,0.35,12922,math,word_scramble,1,2
5,0.99,2510,none,logic,5,3
4,0.59,14605,pattern,quiz,2,2
0,0.41,3914,word_scramble,memory,3,1
3,0.55,18237,logic,memory,2,2
0,0.66,4328,word_scramble,memory,3,1
0,0.59,3148,math,memory,3,1
5,0.87,2957,none,pattern,5,3
3,0.53,22395,math,memory,1,2
0,0.53,4496,math,memory,2,1
5,0.35,18151,logic,quiz,1,2
3,0.58,16060,logic,memory,1,2
4,0.95,2967,riddle,pattern,4,3
0,0.41,2167,word_scramble,memory,2,1
4,0.97,2614,logic,pattern,4,3
1,0.76,6014,word_scramble,pattern,2,1
3,0.38,19199,logic,word_scramble,1,2
4,0.88,3841,logic,logic,4,3
2,0.61,9070,riddle,pattern,3,2
4,0.46,14233,math,memory,2,2
5,0.91,3107,logic,riddle,4,3
0,0.62,4324,word_scramble,memory,2,1
5,0.53,24411,math,quiz,1,2
0,0.66,5634,word_scramble,memory,2,1
3,0.91,1785,logic,pattern,5,3
3,0.9,3594,none,logic,4,3
1,0.4,3775,word_scramble,memory,2,1
2,0.72,5972,word_scramble,riddle,3,2
1,0.51,5519,word_scramble,memory,3,1
0,0.72,10968,quiz,pattern,1,1
0,0.6,5935,riddle,math,1,1
0,0.47,2585,word_scramble,memory,2,1
3,0.35,24656,pattern,memory,1,2
1,0.56,2980,word_scramble,memory,3,1
3,0.75,9774,word_scramble,riddle,4,3
0,0.84,9584,logic,riddle,1,1
3,0.94,3812,logic,logic,4,3
1,0.64,4742,word_scramble,memory,3,1
3,0.44,12834,pattern,quiz,2,2
5,0.55,22627,pattern,quiz,1,2
5,0.87,2517,riddle,riddle,4,3
0,0.64,2646,math,memory,2,1
5,0.88,2602,none,logic,5,3
4,0.93,2287,logic,pattern,5,3
5,0.94,2765,riddle,logic,4,3
1,0.6,4857,word_scramble,memory,3,1
4,0.47,12405,math,word_scramble,1,2
3,0.61,11277,none,memory,4,3
5,0.32,16359,math,memory,1,2
0,0.85,9637,riddle,logic,1,1
1,0.57,5354,word_scramble,memory,2,1
0,0.49,4751,word_scramble,memory,3,1
0,0.63,4196,word_scramble,memory,2,1
5,0.55,16617,math,word_scramble,2,2
0,0.69,2003,word_scramble,memory,3,1
2,0.76,5858,pattern,memory,3,2
2,0.84,5662,none,word_scramble,3,2
4,0.9,2698,logic,riddle,4,3
2,0.62,10488,pattern,pattern,3,2
0,0.65,4552,math,memory,3,1
3,0.77,6134,logic,pattern,4,3
0,0.57,2792,math,memory,3,1
5,0.37,16419,logic,quiz,2,2
4,0.47,22128,math,memory,2,2
5,0.44,22668,pattern,quiz,1,2
0,0.43,3882,word_scramble,memory,3,1
0,0.67,6384,quiz,memory,1,1
5,0.42,24064,logic,memory,2,2
3,0.49,16977,logic,quiz,2,2
0,0.48,4152,word_scramble,memory,3,1
6,0.94,2427,none,pattern,5,3
3,0.9,3989,logic,pattern,4,3
0,0.77,5905,math,math,1,1
3,0.85,3208,logic,riddle,5,3
6,0.99,2641,none,pattern,5,3
6,1.0,1982,riddle,pattern,4,3
1,0.46,5245,word_scramble,memory,3,1
0,0.72,6934,none,pattern,1,1
1,0.62,2195,math,memory,2,1
4,0.5,15843,logic,word_scramble,1,2
3,0.52,14302,pattern,quiz,1,2
1,0.42,3969,word_scramble,memory,3,1
0,0.45,4109,math,memory,3,1
5,0.45,22628,logic,quiz,2,2
6,0.89,1912,riddle,riddle,5,3
1,0.64,4488,word_scramble,memory,3,1
4,0.54,22006,math,memory,1,2
0,0.66,7805,word_scramble,pattern,1,1
3,0.46,12325,pattern,word_scramble,1,2
5,0.49,16971,pattern,quiz,2,2
3,0.89,2915,none,logic,4,3
3,0.56,20431,logic,memory,2,2
3,0.55,24297,math,word_scramble,1,2
2,0.65,5692,pattern,word_scramble,3,2
0,0.73,6051,memory,riddle,1,1
5,0.87,2282,riddle,pattern,4,3
0,0.46,2392,word_scramble,memory,2,1
4,0.47,19385,math,word_scramble,2,2
2,0.68,11965,riddle,memory,3,2
5,0.92,2758,riddle,logic,5,3
0,0.62,2748,math,memory,3,1
3,0.47,24803,math,quiz,2,2
4,0.88,3528,none,logic,4,3
0,0.5,3268,math,memory,2,1
5,0.54,21885,pattern,word_scramble,1,2
4,0.32,19957,logic,quiz,1,2
1,0.58,3479,math,memory,3,1
5,0.9,2745,none,pattern,4,3
4,0.91,3375,logic,pattern,4,3
1,0.75,10596,word_scramble,word_scramble,2,1
5,0.93,3184,none,riddle,4,3
3,0.41,22573,pattern,quiz,2,2
2,0.61,5888,memory,memory,3,2
2,0.7,9189,quiz,logic,3,2
0,0.67,3895,math,memory,3,1
0,0.46,3393,word_scramble,memory,2,1
3,0.39,20775,pattern,memory,1,2
1,0.62,8338,memory,math,2,1
0,0.68,4216,math,memory,3,1
3,0.88,3798,none,riddle,4,3
3,0.99,3040,none,logic,4,3
0,0.67,2735,math,memory,3,1
6,0.92,3929,none,riddle,5,3
3,0.53,21688,math,word_scramble,1,2
1,0.72,9144,logic,logic,2,1
1,0.81,5290,math,quiz,2,1
0,0.63,5935,math,memory,2,1
3,0.68,8544,logic,memory,4,3
1,0.59,3782,word_scramble,memory,2,1
0,0.56,2830,math,memory,3,1
5,0.9,2977,riddle,riddle,5,3
1,0.7,8088,math,riddle,2,1
0,0.65,10797,pattern,word_scramble,1,1
1,0.55,5710,math,memory,2,1
2,0.73,11035,none,memory,3,2
3,0.64,11552,pattern,math,4,3
5,0.43,16751,pattern,word_scramble,2,2
3,0.85,1661,none,riddle,4,3
2,0.75,10384,word_scramble,quiz,3,2
1,0.64,8830,pattern,logic,2,1
6,0.93,2937,logic,logic,4,3
1,0.5,4901,math,memory,2,1
0,0.82,9186,word_scramble,quiz,1,1
1,0.73,7704,riddle,memory,2,1
2,0.67,6169,memory,memory,3,2
3,0.98,1531,riddle,riddle,4,3
5,0.45,19073,logic,memory,1,2
0,0.46,2201,math,memory,3,1
4,0.46,16519,logic,word_scramble,2,2
1,0.57,3213,math,memory,2,1
